HydroCode,OBJECTID,BoreID,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Latitude,longitude
GW022847.1.1,186762,10038166,297.2,NGS,42.67,49.38,254.53,247.82,GRVL,,Gravel water supply,NSW Hydstra,1,,,,,,,,,-31.3465,150.443
GW901851.1.1,797522,10145584,279.75,NGS,48.0,49.0,231.75,230.75,BNST,,Brown sand & gravel,NSW Hydstra,1,,,,,,,,,-30.8668,150.3
GW000080.1.1,988,10015429,228.09,NGS,189.89,227.07,38.2,1.02,SDSN,,Sandstone water supply,NSW Hydstra,1,,,,,,,,,-30.4268,149.483
GW007389.1.1,75035,10022732,250.03,NGS,0.0,0.91,250.03,249.12,CLAY,,Clay red,NSW Hydstra,1,,,,,,,,,-30.7643,149.003
GW045729.1.1,364666,10061115,437.52,NGS,19.81,21.33,417.71,416.19,SHLE,,Shale,NSW Hydstra,1,,,,,,,,,-31.172,150.955
GW036388.1.1,304242,10053035,144.51,NGS,60.0,62.0,84.51,82.51,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.0276,148.609
GW030298.1.1,250809,10046062,267.5,NGS,33.55,35.08,233.95,232.42,GRVL,,"Gravel; 90% (fine 30%, medium 40% & coarse 20%), mainly jasper & smokey quartz, with minor clear quartz, jasper & weathered rock fragments.  clay, light brown, silty & slightly micaceous, fine to medium sandy.",G Gates (0-24.4m) & L Drury (80m+) - WC&IC,2,,,,,,,,,-30.9801,150.313
GW036093.3.1,293148,10052320,232,NGS,41.15,42.67,190.85,189.33,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.5448,150.005
GW063827.1.1,452385,10078336,215.83,NGS,16.0,23.0,199.83,192.83,SHLE,,Shale grey,NSW Hydstra,1,,,,,,,,,-30.3351,149.719
GW048217.1.1,376387,10063445,372.48,NGS,0.0,0.9,372.48,371.58,SOIL,,Soil,NSW Hydstra,1,,,,,,,,,-31.664,150.641
GW054349.1.1,406583,10069548,369.87,NGS,6.0,8.5,363.87,361.37,CLAY,,Clay some gravel,NSW Hydstra,1,,,,,,,,,-31.0562,150.888
GW057246.1.1,419231,10072436,410.32,NGS,51.7,52.0,358.62,358.32,BSLT,,Basalt water supply,NSW Hydstra,1,,,,,,,,,-31.5309,150.683
GW026823.1.1,217745,10042213,199.3,NGS,35.96,46.63,163.34,152.67,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.2732,149.485
GW968422.1.1,823570,10150037,328.85,NGS,25.7,26.5,303.15,302.35,SAND,,"Sand, coarse",NSW Hydstra,1,,,,,,,,,-31.2727,149.881
GW038220.1.1,329837,10055556,335.29,NGS,31.09,35.05,304.2,300.24,SDSN,,Sandstone water supply,NSW Hydstra,1,,,,,,,,,-31.0693,150.2
GW901947.1.1,798586,10145678,286.15,NGS,0.6,3.0,285.55,283.15,UNKN,,Red clay,NSW Hydstra,1,,,,,,,,,-30.9091,149.999
GW968968.1.1,826999,10150583,273.27,NGS,0.0,10.2,273.27,263.07,CLAY,,"Clay; dark red brown, dry to slightly moist, loose, minor fine to medium gravel. fill to about 3m. 3m - dry. 5m - dry, dense. 6m - increase in gravel content from 5.5m down, slightly moist to dry.  hc odour from 5.5m down, getting stronger. 7.5m - sli",Timothy Monk - Handex,2,,,,,,,,,-30.9809,150.258
GW900012.1.1,783219,10143746,443.37,NGS,30.9,39.7,412.47,403.67,UNKN,,Brown shale,NSW Hydstra,1,,,,,,,,,-31.0782,150.938
GW061059.1.1,440572,10076244,218.27,NGS,24.99,28.96,193.28,189.31,CLAY,,Clay sandy water bearing streaks,NSW Hydstra,1,,,,,,,,,-30.3479,149.743
GW968406.1.1,823474,10150021,304.06,NGS,70.5,301.25,233.56,2.81,BDRK,,"Bedrock, interbedded formations with coal layers",NSW Hydstra,1,,,,,,,,,-31.37,150.465
GW023869.1.1,192129,10039176,282.75,NGS,0.91,20.42,281.84,262.33,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.239,150.455
GW036181.1.1,295753,10052507,233.7,NGS,22.86,24.38,210.84,209.32,GRVL,,"Gravel & sand; gravel 70% (40% 2-4mm, 30% 4-10 mm) and sand 30% (1-2mm), trace of light grey clay, overall colour light grey-brown, green tinge","I. Krumins, WC&IC",2,,,,,,,,,-30.5982,150.045
GW900750.1.1,789095,10144484,356.43,NGS,25.6,27.2,330.83,329.23,UNKN,,Water bearing fine medium gravel,NSW Hydstra,1,,,,,,,,,-30.739,150.373
GW050813.1.1,390374,10066022,177.63,NGS,10.36,12.2,167.27,165.43,GRVL,,Gravel sand,NSW Hydstra,1,,,,,,,,,-30.134,149.228
GW030059.1.1,241546,10045503,329.6,NGS,39.65,41.18,289.95,288.42,GRVL,,"Gravel; as above, but clay 20%",D Roberts - WC&IC,2,,,,,,,,,-31.5356,150.595
GW012791.1.1,118667,10028089,265.11,NGS,0.0,0.91,265.11,264.2,SOIL,,Soil black,NSW Hydstra,1,,,,,,,,,-30.9694,150.255
GW036456.1.1,306336,10053157,248.6,NGS,111.0,117.0,137.6,131.6,CLAY,,Clay grey,NSW Hydstra,1,,,,,,,,,-30.7859,150.126
GW969728.1.1,831841,10151354,294.9,NGS,6.0,13.0,288.9,281.9,CLAY,,"Clay, brown, stiff, occassional trace sand",NSW Hydstra,1,,,,,,,,,-31.2966,150.315
GW012334.1.1,115372,10027648,307.41,NGS,4.27,7.62,303.14,299.79,GRVL,,Gravel dry,NSW Hydstra,1,,,,,,,,,-31.1023,150.514
GW054814.1.1,408595,10070012,532.23,NGS,0.0,5.79,532.23,526.44,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.0134,150.93
GW902310.1.1,801062,10146040,428.1,NGS,0.0,0.3,428.1,427.8,SOIL,,Soil,NSW Hydstra,1,,,,,,,,,-31.1286,151.007
GW030272.2.1,249939,10046012,321.2,NGS,79.3,80.83,241.9,240.37,SDSN,,"Sandstone; weathered, medium to coarse, argillaceous cement, angular to subangular, smokey quartz & jasper.",L Drury - WC&IC,2,,,,,,,,,-31.4101,150.549
GW053923.1.1,404553,10069123,525.11,NGS,3.0,9.5,522.11,515.61,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.2631,151.081
GW900577.1.1,787998,10144311,362.53,NGS,4.0,5.0,358.53,357.53,UNKN,,Brown clay,NSW Hydstra,1,,,,,,,,,-31.0426,150.863
GW901496.1.1,794711,10145229,218.06,NGS,57.4,90.0,160.66,128.06,FINE,,Fine grained quartz/sandstone,NSW Hydstra,1,,,,,,,,,-30.3457,149.68
