Exemplar,Matches
Sandstone bands water supply,"Alluvium water supply | Basalt fractured water supply | Basalt water supply | Basalt weathered | Basalt, porous, orange/brown, weathered | Broken sandstone (wb) | Cavity water supply | Conglomerate water supply | Granite decomposed water supply | Granite grey hard water supply | Gravel clean water supply | Gravel fine water supply | Gravel water supply | Grey mudstones | Grey shale | Hard shale | Hard water supply | Rock hard water supply | Rock water supply | Sand veined clay water supply | Sandstone | Sandstone bands water supply | Sandstone green | Sandstone grey | Sandstone grey hard | Sandstone grey hard water supply | Sandstone grey water supply | Sandstone grey weathered | Sandstone nominal | Sandstone soft | Sandstone water bearing | Sandstone water bearing water supply | Sandstone water supply | Sandstone weathered | Sandstone white fine | Sandstone white water supply | Sandstone yellow | Sandstone yellow soft water supply | Sandstone yellowish weathered | Sandstone, grey, medium strength | Sandstone, soft | Sandstone; light reddish-grey, fine grained, pebbly oxidised | Sandstone; weathered, medium to coarse, argillaceous cement, angular to subangular, smokey quartz & jasper. | Shale | Shale & sandstone | Shale black bands coal water supply | Shale black coal bands water supply | Shale dark grey | Shale grey sandstone hard bands | Shale hard | Shale orange water supply | Shale soft broken water supply | Shale water bearing water supply | Shale weathered water bearing | Shale, brown | Water supply | Weathered sandstone with basalt | Weatherite granite | White sandstone"
Sandstone/siltstone/mudstone,Sandstone/siltstone/mudstone
Shale sandy some sand water supply,Shale sandy some sand water supply
Silt,Silt
Silt red,Silt red
Siltstone,Siltstone
Sandyclay,Sandyclay
Topsoil sandy,Topsoil sandy
Missing,Missing
No data,"Basalt | Basalt - water  bearing | Basalt decomposed | Basalt, blue | Basalt, broken, water bearing | Basalt, even drilling, dark | Basalt, moist, dark, calcite white | Basalt, water bearing | Basalt/water bearing | Bedrock, diorite; yellowsh brown, 12-14m fresh bedrock | Bedrock, interbedded formations with coal layers | Black topsoil | Boulders claybound | Brown caly | Clay dark grey sandy water supply | Clay multicoloured loamy | Clay sandy water bearing streaks | Clay sandy water supply | Clay water supply | Clay yellow water bearing | Coal | Coarse gravel | Decomposed basalt | Dolomite, hard, dry | Driller | Fine grained quartz/sandstone | Fine to coarse grey sand | Granite small weathered fractured | Granite w.b. | Gravel cemented some small water bearing bands | Gravel free coarse | Gravel water bearing | Gravel water bearing coarse | Gravel/sand/silt, content, rusty brown | Grey basalt (occasional fault line) | Limestone very hard | Loam sandy | No data | Rock decomposed boulder | Rock decomposed water supply | Rock flinty | Rock hard clay water supply | Rock orange hard water supply | Rock water bearing | Rock, fractured, brown, water bearing | Sand/clay brown | Shale coal | Shale dark | Shale dark grey some hard bands | Shale grey sticky sandy | Shale water bearing | Shale, loose, brown | Shale, water bearing | Shale/water bearing | Shale/yellow | Silt/sand, dark tan | Siltstone, fresh, dark grey | Slate wet broken | Soft basalt | Soft granite | Soil black sandy | Soil red | Soil sandy | Soil, black | Top soil | Topsoil | Topsoil black | Topsoil granite | Topsoil silty | Topsoil, brown | Volcanics, minor carbonaceous siltstone | W.b. basalt | Water bearing | Water bering brown shale"
Nominal,Nominal
Red,Red
Seams,Seams
Water bearing fine medium gravel,Water bearing fine medium gravel
Water bearing gravel,Water bearing gravel
Water bearing river gravel,Water bearing river gravel
