Unique Extracted Classes
sand gravel jasper wood clay
cement claystone
gravel silty carbonaceous clay
clay sand gravel siltstone
lignite coal
sand gravel porphyry chert quartz clay
sand silt gravel cement silty
sand gravel jasper silty chert quartz basalt quartzite
sand rock igneous feldspar gravel jasper porphyry volcanic chert quartz clay
gravel rock clay granite
water basalt pebbles
water cavity
sand gravel mica silty quartz clay
sand jasper silty chert quartz clay
sand gravel clay lava quartzite
gravel chert lava clay
gravel basalt limestone clay
sand mica jasper quartz carbonaceous
sand rock jasper chert clay
sand clay slate
gravel mica clay
sand sandstone silt gravel cement pebbles clay
gravel sand stones sand
sand jasper silty basalt quartz
sand slate gravel silty quartz pebbles stones quartzite
gravel basalt cement
sand rock silt gravel jasper porphyry chert quartz
water stones boulders
sand gravel silty pebbles stones quartzite
sand rock silt gravel jasper chert quartz clay
sedimentary
shale sandstone siltstone
sand gravel volcanic basalt quartz carbonaceous clay
silty loam
gravel sedimentary clay
gravel shale
sand gravel jasper siltstone clay
rock gravel volcanic basalt quartz clay
arkose slate
gravel wood
gravel sand boulders stones clay
bentonite
sand coal carbonaceous siltstone
sand gravel mudstone siltstone quartz rhyolite
agglomerate clay
gravel jasper silty chert quartz basalt clay
coal conglomerate
sand rock jasper silty chert
sand feldspar gravel jasper porphyry silty basalt quartz clay
silty sand clay siltstone
gravel water cement clay
sand rock gravel silty siltstone basalt
water sand conglomerate gravel
gravel sand mudstone
water shale sandstone
sand rock gravel mudstone jasper porphyry siltstone chert quartz clay
sand water conglomerate
sand gravel jasper chert quartz sandstone clay
gravel rock boulders clay
quartz sandstone jasper cement
water sand basalt
sand feldspar gravel mica jasper porphyry siltstone basalt quartz
basalt rock stones
gravel sand clay ironstone
silty sand jasper silt
sand rock gravel jasper porphyry basalt quartz clay
sand mica jasper quartz clay
sand feldspar gravel silty chert quartz
sand sand boulders
silty clay
tuff carbonaceous siltstone
sand limestone clay
gravel sand silt sand clay
sand clay boulders
sand gravel jasper porphyry basalt quartz chert
sand water sand boulders clay
silt dolerite
sand water cement
boulders
sand gravel porphyry silty quartz clay
quartz rock porphyry feldspar
gravel clay boulders
water
sand feldspar mica silty quartz clay
sand rock gravel jasper porphyry quartz chert basalt clay
shale rock carbonaceous
water conglomerate ironstone
sand rock gravel jasper clay porphyry chert basalt ironstone
sand feldspar gravel jasper siltstone basalt quartz sandstone
sand rock silt gravel jasper silty chert quartz
shale sandstone stones
silty sand soil
sand gravel jasper basalt quartz
sand rock igneous gravel jasper chert quartz clay
gravel jasper silty wood chert carbonaceous clay
gravel sand coal clay
sand rock gravel jasper silty quartz
sand rock slate gravel clay
basalt pebbles
gravel water wood
gravel mudstone sandstone
chert mica jasper quartz
sand water drift clay
sand silt gravel jasper chert quartzite
mudstone claystone
sand rock jasper quartz clay
gravel water slate
gravel rock silt clay
water loam
gravel arkose stones clay
volcanic boulders
sand sandstone cement
sand rock silty quartz clay
silt
tuff rock sandstone conglomerate
cement
sand silt cement silty sandstone
rock gravel jasper siltstone basalt quartz chert
sand rock jasper silty chert quartz clay
sand feldspar gravel mica jasper silty loam quartz
water limestone
sandstone loam
gravel porphyry chert basalt clay
sand soil granite
gravel basalt clay ironstone
gravel slate
mud rock clay
granite clay
sand quartzite gravel volcanic rhyolite clay
sand rock mica silty clay
gravel water claystone
sand rock jasper chert quartz clay
gravel cement clay
gravel sand mica quartz
agglomerate stones clay
sand feldspar gravel mica jasper porphyry silty siltstone basalt quartz clay
silty water sand
soil stones clay
sand gravel jasper porphyry chert quartz
loam clay
sand gravel jasper chert clay
mudstone
sand rock gravel basalt quartz clay
gravel basalt sand clay
sand gravel jasper porphyry chert basalt clay
sand water silt
sand gravel jasper arkose porphyry chert quartz sandstone clay
sand rock feldspar jasper volcanic chert clay
rock gravel jasper porphyry chert quartz
gravel sand clay loam clay
gravel sandstone clay ironstone
water basalt slate
gravel basalt jasper porphyry
silty stones clay
sand rock silt gravel jasper silty quartz clay
feldspar gravel jasper arkose porphyry chert quartz sandstone
sand rock feldspar gravel calcite porphyry basalt quartz chert
silty limestone
mica calcite siltstone
sand gravel silty quartz pebbles
gravel sand sandstone
sand silt gravel mica silty quartz clay
gravel serpentine
sand gravel jasper porphyry silty boulders basalt quartz chert
sand gravel jasper porphyry siltstone basalt quartz
gravel sand drift clay
mud coal clay
silty sand sedimentary clay
shale mudstone siltstone
sand stones sand
sand clay conglomerate boulders
gravel sand quartz lava
mud shale slate
sand igneous clay
water stones clay
sand rock gravel mudstone volcanic clay
gravel sand stones
quartz greywacke sandstone
water rock igneous
sand feldspar gravel jasper basalt quartz
sand clay limestone
quartz mudstone calcite
gravel sand
basalt claystone
water basalt shale
gravel quartz wood jasper
sand siltstone
sand gravel jasper cement quartz sandstone
sand igneous feldspar gravel jasper porphyry chert quartz
sand gravel lava chert quartz basalt clay
water granite
gravel chert basalt jasper
gravel water granite
soil silt
water sedimentary
water pebbles limestone
sand gravel silty pebbles stones clay
water silt
sand basalt quartz clay
sand feldspar gravel mica jasper basalt quartz clay
gravel water silty clay
sand rock igneous gravel jasper silty quartz
stones sand clay
sand gravel porphyry silty basalt chert
basalt sandstone shale
gravel jasper chert quartz clay
schist phyllite rhyolite
sand sedimentary rock conglomerate coal
gravel mica rock clay
rock gravel shale mudstone jasper
gravel jasper porphyry chert quartz
sand silt gravel mudstone jasper porphyry chert quartz clay
sedimentary clay
sand pebbles clay limestone
soil volcanic
sand gravel jasper silty chert
gravel clay
sand mica mudstone silt
sand rock jasper silty quartz clay
sand gravel jasper basalt quartz sandstone clay
siderite clay
sand sandstone cement clay
gravel silt
sand silt gravel basalt clay
gravel basalt water
gravel drift mud
mudstone clay limestone
shale arkose
gravel basalt pebbles cement
sand rock gravel porphyry volcanic chert quartz clay
rhyolite conglomerate
gravel mica jasper porphyry silty siltstone quartz clay
sand gravel jasper porphyry silty quartz clay
rhyolite sandstone
rock granite boulders
soil loam
sand gravel jasper basalt quartz chert
stones sand
basalt clay boulders
gravel sand wood clay
sand gravel jasper porphyry volcanic quartz clay
conglomerate siltstone
sand gravel jasper silty volcanic quartz
water sand slate gravel jasper clay silty quartz quartzite
gravel sand clay gravel stones
sand water quartz
sand gravel jasper porphyry silty siltstone basalt quartz chert
sand gravel mudstone jasper quartz sandstone clay
sand feldspar gravel jasper porphyry quartz quartzite
water sand gravel shale clay
sand gravel mica jasper porphyry silty chert quartz clay
shale stones
sand water pebbles clay
sand silt gravel jasper silty siltstone sandstone clay
sand gravel silty basalt quartz
shale laterite clay
basalt quartz slate
rock gravel mudstone jasper porphyry volcanic quartz
sand feldspar gravel mica porphyry basalt quartz
basalt ironstone
silty sand carbonaceous clay
gravel clay gravel clay
sand mica jasper silty quartz sandstone clay
sand gravel silty quartz clay
rock gravel jasper silty chert quartz clay
conglomerate limestone
gravel lava quartzite
sand rock gravel jasper porphyry silty siltstone quartz
silty water wood clay
shale mica limestone
sand rock gravel silty quartz clay
quartz clay
sand gravel jasper quartz sandstone clay
gravel wood clay
pebbles sandstone clay
gravel jasper sand boulders porphyry basalt quartz
feldspar gravel porphyry siltstone chert quartz
sand gravel mica jasper quartz carbonaceous clay
sand feldspar gravel jasper porphyry siltstone basalt quartz sandstone clay
rock gravel jasper silty quartz chert basalt sandstone clay
sand feldspar gravel jasper porphyry silty quartz chert basalt clay
gravel sandstone sand boulders clay
sand feldspar gravel porphyry silty basalt quartz clay
rock gravel jasper volcanic siltstone chert quartz clay
sand rock silt
gravel water drift
gravel water
sand silt jasper silty clay
sand rock gravel porphyry chert quartz
rock feldspar gravel jasper porphyry basalt quartz chert
sandstone carbonaceous siltstone
gravel sand clay porphyry
sand rock feldspar gravel porphyry quartz chert basalt clay
silty shale
silt clay
sand feldspar gravel jasper porphyry chert quartz clay
sand sandstone shale clay
sand gravel jasper silty chert quartz quartzite
shale rock volcanic
sand feldspar gravel jasper chert quartz quartzite
slate gravel mudstone jasper volcanic quartz
sand slate
conglomerate clay
quartz rock sandstone carbonaceous
sand jasper silt
sand limestone
rock igneous gravel jasper porphyry volcanic quartz
sand gravel mica jasper porphyry silty basalt quartz chert
rock boulders clay
silty calcrete clay
quartzite gravel jasper quartz clay
gravel sand rhyolite silt
sand rock clay
water shale slate
sand water sedimentary
silty shale coal
silty sand limestone
water sand gravel basalt stones
sand feldspar gravel jasper porphyry silty chert quartz clay
lignite water
gravel mudstone jasper porphyry
gravel quartz jasper conglomerate
sand water shale
sand rock feldspar gravel jasper porphyry silty chert quartz clay
gravel agglomerate
sand rock gravel jasper volcanic basalt quartz clay
sand gravel siltstone basalt limestone clay
gravel water silt clay
sand mica silty quartz clay
sand calcite clay
sand rock gravel jasper volcanic chert clay
sand gravel jasper chert quartz basalt clay
porphyry
basalt rock pebbles clay
rock conglomerate clay pebbles ironstone
sand slate gravel jasper quartz quartzite
drift granite
gravel sand silty silt
rock gravel cement conglomerate quartz
gravel basalt conglomerate chert
sand basalt coal
sand rock gravel jasper quartz clay
sand rock gravel jasper porphyry silty quartz sandstone
gravel silty silt clay
gravel mica jasper silty quartz clay
water wood
sand feldspar gravel porphyry volcanic basalt quartz chert
sand boulders clay
rock mica cement siltstone quartz sandstone
sand shale mica siltstone quartz sandstone carbonaceous
stones
silty shale coal claystone
sand
gravel sand cement
gravel sand quartz feldspar
silty sand mudstone clay
sand gravel mica quartz clay
mud shale rock
sand diorite rock gravel jasper quartz chert basalt clay
clay gravel boulders
sand gravel clay basalt chert
gravel water silty
rhyolite conglomerate clay
gravel mica jasper chert quartz clay
sand water siltstone
water rock ironstone
gravel sand ironstone
soil shale carbonaceous
sand rock igneous gravel andesite quartz
stones sandstone silt
sand mudstone pebbles clay
sand quartz silt clay
sand gravel mica jasper quartz chert basalt clay
sand water carbonaceous clay
sand silt cement sandstone clay
basalt sandstone
rock igneous clay
mud shale
sand water clay
water sand gravel silty pebbles clay
sand gravel jasper porphyry volcanic chert quartz
rock volcanic stones
gravel sand sedimentary clay
sand rock feldspar gravel jasper porphyry basalt quartz rhyolite chert
clay limestone
sand gravel mudstone jasper porphyry quartz
sandstone conglomerate
alluvium loam
sand feldspar gravel jasper porphyry silty siltstone quartz clay
silty water pebbles clay
gravel igneous clay
water basalt sandstone
sand gravel porphyry quartz clay
sand gravel mudstone porphyry volcanic clay
water rock shale clay
quartz sandstone cement clay
gravel lava jasper
silty sand sandstone
sand rock gravel porphyry silty siltstone quartz clay
rock gravel mudstone jasper chert quartz
gravel silty clay siltstone
basalt rock soil
water rock boulders
sand gravel clay quartz quartzite
mud sand gravel jasper porphyry silty chert quartz carbonaceous clay
sand quartz volcanic
sand gravel porphyry silty basalt quartz clay
sand silt gravel porphyry basalt quartz carbonaceous
schist quartz
gravel andesite clay
soil loam clay
sand loam sandstone
water basalt granite
sand rock gravel jasper silty volcanic chert quartz clay
feldspar gravel jasper basalt quartz chert
gravel quartz jasper igneous
sand agglomerate clay
silty clay claystone
silty sand mica loam
silty sand mica quartz
sand rock feldspar gravel jasper porphyry siltstone basalt quartz sandstone
sand water clay granite
shale rock ironstone
igneous gravel jasper quartz quartzite
gravel water conglomerate clay
sand gravel jasper chert quartz clay
gravel lava jasper quartz
sand rock igneous gravel jasper porphyry volcanic chert clay
water sand gravel wood clay
sand quartzite gravel jasper chert clay
mud sand silty gravel
water sandstone conglomerate
sand gravel porphyry silty chert basalt clay
sand rock gravel jasper quartz
sand serpentine feldspar gravel jasper porphyry basalt quartz sandstone clay
sand mica jasper silty basalt quartz clay
sandstone claystone
gravel basalt carbonaceous clay
clay ironstone
gravel basalt boulders
gravel clay quartzite
gravel clay siltstone
sand silt gravel porphyry quartz
coal sandstone laterite
sand rock gravel jasper basalt quartz chert
sand mica jasper silty clay
water basalt greywacke
sandstone carbonaceous
gravel basalt quartz boulders
sand gravel jasper porphyry silty chert quartz sandstone clay
rock gravel jasper silty quartz chert basalt clay
alluvium silt
gravel jasper silty siltstone basalt quartz clay
water shale clay
basalt agglomerate
sand quartzite gravel lava quartz clay
gravel stones
gravel jasper chert quartz carbonaceous
water mudstone shale
sand gravel wood carbonaceous clay
shale claystone
lignite water shale
shale coal sandstone conglomerate
gravel sand volcanic clay
shale coal rock
sand rock silt gravel silty quartz
rock feldspar gravel jasper porphyry chert quartz
sand feldspar gravel mica jasper porphyry silty chert quartz clay
volcanic rock jasper igneous
water sand gravel sandstone clay
rock limestone
sand gravel jasper silty lava quartzite
soil stones limestone
sand rock gravel jasper chert quartz
sand rock cement quartz clay
sand wood silt
gravel sand jasper silt
gravel soil rock clay
sand gravel coal sandstone clay
rock cement
gravel granite
serpentine
sand gravel jasper porphyry silty chert quartz
basalt clay stones limestone
mudstone rock
gravel jasper siltstone chert quartz clay
coal mudstone
feldspar gravel porphyry silty quartz siltstone chert basalt clay
water tuff
shale coal siltstone sandstone carbonaceous
sand rock quartzite gravel quartz clay
sandstone clay
gravel sand pebbles
sand gravel clay silty siltstone chert quartz pebbles quartzite
rock zeolite cement breccia chert quartz
feldspar cement quartz sandstone clay
sand mica rock clay
rock gravel mudstone quartz rhyolite
gravel sand coal
sand gravel mica jasper quartz clay
silty shale mica rock
sand water loam soil
gravel sand clay
sand gravel silty pebbles quartzite
sand gravel jasper siltstone basalt quartz clay
rock boulders
mica jasper cement chert quartz sandstone
feldspar
gravel jasper chert quartz quartzite
water mudstone siltstone
sand rock gravel mica jasper silty quartz clay
mud sand rock gravel soil jasper chert basalt clay
quartz siltstone
water basalt
rock gravel jasper porphyry basalt clay
sand rock igneous gravel mudstone granite clay
soapstone
gravel sand wood silty
sand gravel mica jasper porphyry quartz clay
sand feldspar gravel mica jasper porphyry silty quartz chert basalt clay
silty mudstone
rock clay quartzite
water phyllite
rock gravel jasper porphyry chert basalt
basalt soil stones
sand gravel jasper conglomerate silty chert quartz
water silty loam sandstone clay
silt gravel jasper silty quartz clay
gravel water sand clay
sand quartzite gravel chert lava clay
rock gravel jasper chert basalt clay
sand rock gravel chert lava quartzite
shale sand boulders clay
drift
quartzite
carbonaceous conglomerate
gravel sand jasper
gravel water quartz sandstone
water basalt stones
sand gravel jasper silty chert quartz sandstone clay
sand cement pebbles conglomerate
gravel water cement
water sand gravel stones clay
sand rock gravel jasper volcanic basalt clay
sand feldspar gravel mica porphyry quartz clay
sandstone laterite
sand water stones gravel
rock jasper porphyry basalt quartz clay
quartz sandstone clay
sand gravel mica jasper silty basalt quartz carbonaceous clay
sand rock jasper porphyry quartz chert basalt clay
quartz mica siltstone
sand gravel quartz sandstone clay
basalt coal
rock gravel jasper chert quartz clay
gravel water boulders clay
silt claystone
gravel sandstone
water sedimentary rock granite
sand rock gravel mica jasper silty quartz sandstone clay
coal mudstone sandstone carbonaceous
sand gravel jasper sand boulders boulders basalt quartz chert
sand silt gravel porphyry basalt chert
sand gravel porphyry chert quartz
shale quartz
sand silt gravel jasper silty clay
sand silt clay
lignite sandstone
water rock cement
sand carbonaceous clay siltstone
sand rock feldspar gravel jasper volcanic chert clay
sand agglomerate gravel jasper quartz clay
sand coal clay
water basalt rock shale
sand coal shale
soil boulders
sand rock feldspar gravel mudstone jasper chert quartz
rock gravel jasper quartz clay
shale quartz sandstone carbonaceous
shale rock carbonaceous mudstone
water rock shale volcanic basalt clay
water sandstone
tuff pebbles
silty sand quartz rock
sand gravel mudstone jasper siltstone chert quartz rhyolite
water rock slate
gravel shale mudstone jasper chert quartz
chert sandstone
tuff rock pebbles
gravel quartz rock
mudstone limestone
sand shale mica cement quartz sandstone
sand gravel mudstone jasper porphyry quartz quartzite
gravel sand drift
quartz sandstone
silty shale siltstone
sand gravel mudstone porphyry volcanic quartz clay
water granite boulders
sand gravel jasper silty siltstone chert quartz
sand agglomerate
sand rock shale mica silty clay
water rock
coal sandstone claystone
gravel basalt clay
sand gravel silty siltstone basalt quartz carbonaceous clay
water rock diorite
pebbles clay
rock igneous
sedimentary rock shale tuff coal siltstone sandstone
sand rock gravel jasper clay porphyry silty chert quartz basalt ironstone
sedimentary rock claystone coal sandstone
mudstone slate
basalt sandstone boulders
rock volcanic conglomerate
clay granite feldspar
tuff mudstone
silty sand mica clay
sand rock shale
sand gravel jasper silty loam quartz
gravel mica silty quartz clay
sand feldspar gravel jasper porphyry silty quartz laterite
gravel laterite
sand rock igneous feldspar gravel jasper porphyry quartz clay
sand feldspar gravel jasper porphyry silty siltstone chert quartz
silty coal
sand coal sandstone siltstone
silty sand conglomerate clay
gravel jasper porphyry quartz pebbles quartzite
igneous gravel mudstone clay quartzite
rock feldspar gravel porphyry basalt quartz chert
sand sedimentary rock sandstone clay
sand gravel jasper basalt chert
gravel jasper siltstone quartz clay
gravel water silt
quartz sandstone carbonaceous cement
sand rock cement
alluvium rock
sand gravel mica jasper silty clay
sand silt gravel quartz clay
water sand silty clay
sand porphyry silty basalt quartz clay
clay
gravel jasper clay chert quartz basalt ironstone
basalt calcite
sand gravel mudstone jasper porphyry chert quartz quartzite
sand shale coal siltstone carbonaceous clay
sand jasper quartz sandstone clay
sand silt gravel clay limestone
silty siltstone claystone
gravel boulders conglomerate clay
mica mudstone sandstone carbonaceous
gravel basalt stones cement
ignimbrite water shale
sand gravel siltstone quartz clay
tuff mudstone carbonaceous
soil stones boulders
shale coal siderite
gravel shale jasper porphyry siltstone basalt clay
water coal shale
shale slate
shale quartz carbonaceous
sand rock gravel mica jasper chert quartz clay
sand pebbles silt clay
claystone siltstone
water sand gravel quartz clay
shale sandstone limestone
sand rock mica quartz clay
sand gravel silty chert quartz clay
lignite rock volcanic
sand gravel tuff conglomerate clay
silty sand clay claystone
sand igneous gravel basalt quartz clay
greywacke gravel jasper siltstone basalt quartz sandstone clay
gravel mudstone clay
gravel pebbles clay quartzite
sand rock jasper basalt quartz clay
gravel jasper silty quartz clay
sand quartz clay feldspar
silty sand quartz jasper
gravel sand quartz silty
sand gravel mica jasper silty quartz ironstone
clay rock cement siltstone
rock pebbles cement
gravel conglomerate carbonaceous stones clay
gravel sandstone clay
rock mudstone
tuff conglomerate
rock gravel jasper porphyry quartz clay
sand water stones clay
gravel jasper porphyry chert clay
silty sand clay chert
shale siltstone
bentonite clay
quartz rock
water sand jasper quartz pebbles clay
conglomerate stones clay
rock igneous gravel mudstone clay
sand loam cement
gravel quartz sandstone cement
silty mica clay
silt limestone
calcite slate
sand rock volcanic
alluvium water sand
sand gravel shale jasper clay
sand rock gravel quartz rhyolite quartzite
gravel boulders clay
gravel sand shale clay
sand basalt serpentine
sand stones clay
sand rock gravel mudstone jasper andesite volcanic quartz sandstone
sand rock gravel porphyry chert quartz clay
water sand
gravel rock pebbles clay
shale cavity
sand feldspar gravel jasper silty chert quartz quartzite
sand agglomerate gravel mudstone jasper quartz
sand mica silt clay
gravel basalt chert porphyry
silty wood clay
sand drift
sand mudstone ironstone
gravel coal clay ironstone
sand rock gravel jasper porphyry chert quartz sandstone clay
silt gravel jasper quartz clay
sand rock gravel shale mica mudstone
sand feldspar gravel mica jasper silty chert quartz clay
silty sand sand boulders clay
gravel soil silty clay
sand gravel jasper loam basalt quartz
gravel mudstone silty siltstone schist clay
sand mica loam quartz
mica rock clay
sand rock gravel jasper chert quartz clay
sand rock gravel jasper clay porphyry silty basalt quartzite
sand rock gravel jasper clay porphyry silty chert quartz ironstone
sand bentonite silt clay
sand loam granite
gravel jasper silty basalt quartz clay
sand gravel mica jasper porphyry silty quartz chert basalt clay
porphyry clay feldspar
silty sand claystone
sand gravel volcanic quartz clay
sand water sandstone clay
silty sand silt clay
sedimentary rock gravel volcanic quartz carbonaceous
water basalt limestone
ironstone clay limestone
sand gravel jasper silty basalt quartz
sand wood
gravel pebbles ignimbrite clay
