Description,Extracted
claytraces,clay
gravellightbrownclay,gravel clay
claylightbrown,clay
gravel,gravel
gravel,gravel
gravelwaterbearing,gravel water
topsoil,soil
claysandysomegravel,gravel sand clay
sandsomegravel,gravel sand
claysandy,sand clay
gravelwaterbearing,gravel water
sandsomewood,sand wood
claysandy,sand clay
sandgravelwaterbearing,gravel water sand
clay,clay
soil,soil
clay,clay
claygravelclay90brownandgravel10fine,gravel clay
claygravelclay80brownandgravel20fine,gravel clay
clay,clay
claybrowntraceoflightgrey,clay
claybrowntraceoflightgreytraceofgravelfine,gravel clay
claygravelclay60lightbrownandgravel40upto35mm,gravel clay
gravelclaygravel9050fineto2mm4024mmandclay8lightbrown,gravel clay
sandsand90033175mm1017525mmandclay3lightbrown,sand clay
sand0332mmlightbrown,sand
gravel400332mm6028mmlightbrown,gravel
gravel700332mm3028mmlightbrowngreytinge,gravel
gravelclaygravel90400332mm5028mmdarkgreytoblackandclay5brown,gravel clay
clay,clay
claysandgravelclay60brownandsandgravel40upto6mm,gravel sand clay
clay,clay
sandclaysand90upto2mmandclay10brown,sand clay
claybrownsomesandfinetocoarse,sand clay
clay,clay
claylightbrownsandyveryfine,sand clay
claylightbrownsandyfine,sand clay
claymediumgreysandyfinetocoarse,sand clay
claylightbrownslightlysandyfinetocoarse,sand clay
claylightbrownslightlysandyveryfine,sand clay
claysandgravel,gravel sand clay
claylightbrownsomesmallcalcareousfragments,clay
claylightbrownslightlysandyveryfine,sand clay
sandyclayclay30lightbrownandsand70coarse,sand clay
claylightbrownslightlysandyfinetocoarse,sand clay
claysandclay90lightbrownandsand10fineto15mm,sand clay
claygravelclay90lightbrowntobrownandgravel10fine,gravel clay
sandyclay,sand clay
sandsand95fineto1mmandclay5greybrown,sand clay
claysandgravelclay70lightbrownandsandgravel30upto4mm,gravel sand clay
claymediumgreybrowntingesandycoarse,sand clay
claysandgravelclay50lightbrownandsandgravel50upto3mm,gravel sand clay
claysandgravelclay70greybrowntingeandsandgravel30upto10mm,gravel sand clay
missing,
gravelgravel70fineto2mm30235mmandclay3greybrowntinge,gravel clay
claysandgravelclay70mediumgreyandsandgravel30upto8mm,gravel sand clay
gravel70fineto2mm3028mmandclay3mediumgrey,gravel clay
claygravel,gravel clay
gravelgravel30fineto2mm70212mmandclay3grey,gravel clay
sandgravelclay,gravel sand clay
gravelgravel30fineto2mm70212mmandclay3grey,gravel clay
gravelgravel30052mm50210mm201015mmtraceofclaymediumgrey,gravel clay
gravelgravel30052mm7028mmandclay3mediumgrey,gravel clay
gravelgravel30052mm70210mmtraceofclaymediumgrey,gravel clay
gravelgravel30052mm70210mmfewlargepebblesupto40mmmediumgrey,gravel pebbles
claygravelclay60mediumgreytodarkgreyandgravel40upto8mm,gravel clay
gravelgravel30052mm7028mmmediumgrey,gravel
gravelgravel30052mm7024mmmediumgrey,gravel
gravelgravel90upto8mmandclay10mediumgrey,gravel clay
gravelgravel90upto12mmandclay10mediumgrey,gravel clay
clayclay90mediumgreyandgravel10upto10mm,gravel clay
gravelgravel70upto8mmandclay30mediumgrey,gravel clay
claygravel,gravel clay
claygreysandywaterbearing,sand water clay
claysandy,sand clay
claysandy,sand clay
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
greyhardcored,
gravelclayboundwaterbearing,gravel water clay
clay,clay
claysandy,sand clay
topsoil,soil
soil,soil
clay,clay
claylightbrowntraceofgravelfine,gravel clay
clay,clay
claylightbrowntraceofgravelfine,gravel clay
clay,clay
claylightbrownafewcalcareousfragmentsupto30mm,clay
clay,clay
claysandclay70lightbrownandsand30finetocoarse,sand clay
clay,clay
claygravelclay60lightbrownandgravel40upto8mmgreyandblack,gravel clay
gravelclaygravel70upto10mmgreyandblackandclay30lightbrown,gravel clay
claygravelclay80lightbrownandgravel20upto10mmgreytoblackangular,gravel clay
clay,clay
shalesandstonefinegrainedlighttodarkgreyintervalcored,shale sandstone
clay,clay
shalecored,shale
claygreysandy,sand clay
clayverysandy,sand clay
topsoil,soil
claygreysandy,sand clay
gravelclaybands,gravel sand clay
gravelwoodwatersupply,gravel water wood
claylightgreybrowntinge,clay
claylightbrowngreytingesandyfine,sand clay
claylightgreybrown,clay
claylightgreysomelightbrownverysandyfine,sand clay
claylightbrowntraceoflightgreysilty,silty clay
clay80lightbrowngravel20,gravel clay
claylightbrownsilty,silty clay
claylightbrownslightlysandyfinetomedium,sand clay
claylightgreysomelightbrown,clay
claylightgreyandlightbrowntraceofgravelupto8mm,gravel clay
gravel35mmtraceofclaylightgreybrown,gravel clay
clay10lightgreyandbrowntraceofdarkredgravel9035mm,gravel clay
claylightgreysomelightbrowntraceofgravelto5mm,gravel clay
clay20lightgreyandbrownsandandgravel,gravel sand clay
claylightgreyandbrowntraceofgravel,gravel clay
claygreyalotofdarkredtraceofyellowbrowntraceoffinegravel,gravel clay
clayasforabovenogravel,gravel clay
claylightgreydarkredbrownandyellowbrowntraceofgravel,gravel clay
claylightgreydarkredtraceofgravel,gravel clay
claylightgreytraceoflightyellowbrownsandyveryfine,sand clay
sandabout15mmdiameterverypalebrown,sand
clay30lightgreybrownsand50palebrown15mmdiametergravel20upto6mmtraceofblackcarbonizedwood,gravel sand wood clay
gravel7025mm10510mmlightgreysand20fineto2mm,gravel sand
gravel60154mm2048mmlightgreysand20fineto2mm,gravel sand
siltstonelightgreyblueweatheredtosiltyclay,silty clay siltstone
unkownmissing,
siltstonelightgreysomemediumgreyfairlysoftinternalcordrecovery40cm,siltstone
clay,clay
shalegreycored,shale
clay,clay
claylightgreyanddarkredtraceofyellowbrowntraceoffinegravel,gravel clay
claysandy,sand clay
sandgravelwatersupply,gravel water sand
claygreysandy,sand clay
sandveryfine,sand
claygrey,clay
gravelwoodwatersupply,gravel water wood
gravelgreyfinewatersupply,gravel water
gravelfinegravel,gravel
clayblack,clay
claylightgreysandy,sand clay
claysandy,sand clay
claygrey,clay
claygrey,clay
claygreybrowntinge,clay
claylightbrowntraceoflightgreysandyfine,sand clay
none,
claylightgreysandyfine,sand clay
claylightbrownslightlysandyfine,sand clay
claylightlybrowntraceoflightgrey,clay
claylightbrownandlightgreyverysilty,silty clay
claylightbrowntraceoffinegravel,gravel clay
claylightbrown,clay
claylightbrown80gravel20upto3mm,gravel clay
gravel70fineto2mm30235mmtraceofclaylightbrown,gravel clay
gravel60fineto2mm30235mmtraceofclaylightbrown,gravel clay
claylightgreysilty,silty clay
claylightbrownsomelightgreysilty,silty clay
gravel2052mm6026mm20610mmtraceofclaylightbrown,gravel clay
sand8052mm20235mmlightbrown,sand
gravel2052mm8026mmlightbrown,gravel
sand90132mm10235mmlightbrown,sand
claylightbrownandlightgrey,clay
claylightbrownsomelightgrey,clay
clayyellowbrownsilty,silty clay
claylightbrownsomelightgreysandyveryfine,sand clay
sand1325mmlightbrown,sand
sand70fineto2mm20235mmclay10lightbrown,sand clay
sand8052mm20235mmclay10lightbrown,sand clay
gravel5052mm5024mmlightgrey,gravel
sand80132mm20235mmlightgrey,sand
sand9051mm1012mmlightgreybrowntinge,sand
gravel3052mm50235mm20356mmlightgrey,gravel
gravel3052mm50235mm20356mmtraceofclaylightgrey,gravel clay
sand52mmtraceoflightbrownclayoverallcolourlightgrey,sand clay
gravel8052mmtraceoflightbrownclayoverallcolourlightgrey,gravel clay
gravel8052mm20235mmlightgrey,gravel
gravel3052mm50235mm203510mmcarbonizedwood1blackoverallcolourlightgrey,gravel wood
claylighttomediumgreysilty,silty clay
claylightgreysandyfinetocoarse,sand clay
shalegrey,shale
claywaterbearing,water clay
topsoil,soil
shalegreyhardcored,shale
claygrey,clay
clay,clay
sandfinesomeclay,sand clay
topsoil,soil
clay,clay
claydarkgrey,clay
claygrey,clay
claylightgrey,clay
claylightgreysomelightbrownslightlysandyfinetomedium,sand clay
claylightbrown,clay
gravel1535mmtraceofclaylightbrown,gravel clay
claylightbrownslightlysandy,sand clay
sand125mmlightbrown,sand
clay10lightbrownsand90upto25mm,sand clay
clay50lightbrownsand50upto25mm,sand clay
sand125mmtraceofclaylightyellowbrown,sand clay
sand125mmtraceofclaylightbrown,sand clay
clay60lightbrownsand40upto25mm,sand clay
claylightgreysomelightbrownsilty,silty clay
claylightbrowntraceoflightgreyslightlysandyfinetocoarse,sand clay
sand125mmtraceofclaylightbrowngreytinge,sand clay
clay20sandandgravel80upto4mm,gravel sand clay
sand52mmlightbrown,sand
sand90535mmclay8lightbrown,sand clay
sand9053mmclay5lightbrowngreytinge,sand clay
sand1525mmlightbrown,sand
claylightgreyverysandycoarse,sand clay
shaledarkgreytraceofpyriteintervalcored,shale
claylightgreysilty,silty clay
sand525mmfainttraceofblackcarbonizedwoodlightgrey,sand wood
sand53mmfainttraceofblackcarbonizedwoodlightgrey,sand wood
claylightgreybrowntingeverysandycoarse,sand clay
gravel8052mm2024mmfainttraceofblackcarbonizedwoodlightgrey,gravel wood
clay10lightgreysandandgravel90upto6mm,gravel sand clay
claydarkgreyprobablyweatheredshale,shale clay
clay,clay
sandfinesomeclaywatersupply,sand water clay
sandfinegravel,gravel sand
shalecored,shale
sandfinewaterbearing,sand water
claywaterbearing,water clay
claysandy,sand clay
sandstoneweatheredcored,sandstone
claybrownsilty,silty clay
claybrownsandyveryfine,sand clay
sandgravelclaysandgravel80upto35mmandclay20brown,gravel sand clay
claysandgravelclay70andsandgravel30upto35mm,gravel sand clay
clay,clay
claybrowntraceofgravelfine,gravel clay
claysandgravelclay50brownandsandgravel50upto3mm,gravel sand clay
claybrownsandyfinewithtracesofcoarse,sand clay
claysandclay50brownandsand50coarse,sand clay
clay,clay
claymediumbrownsandyfinetocoarse,sand clay
claymediumbrownslightlysandyfinetocoarse,sand clay
claysandgravelclay80brownandsandfinegravel20,gravel sand clay
claymediumbrownslightlysandyfinetocoarse,sand clay
clay,clay
claymediumbrownsandyfinetocoarse,sand clay
claymediumbrownverysandyfinetocoarse,sand clay
claymediumbrownslightlysandyfinetocoarse,sand clay
claymediumbrownsandyfine,sand clay
clayasfor7588mplussomegreyrockchips,rock clay
claymediumbrownplussomegreysharprockchipsplustracesofgreyandlightyellowbrownsoftsandylumpscouldbeveryweatheredfinesandstone,sand rock sandstone clay
clay,clay
claygrey,clay
clay,clay
claysomefinegravel,gravel clay
topsoil,soil
claysandy,sand clay
gravelclaybound,gravel clay
claygrey,clay
sandfine,sand
gravelclaybound,gravel clay
sandgreyclay,sand clay
gravelfineclaybound,gravel clay
sandgravel,gravel sand
claysandy,sand clay
sandfinegravel,gravel sand
claygrey,clay
clay,clay
gravelclaybound,gravel clay
nosample,
sand125mmlightbrown,sand
sand90125102535mmtraceofclaylightbrown,sand clay
gravel80125mm102535mmtraceofclaylightbrown,gravel clay
sand90125mm10253mmlightbrowntraceofclay,sand clay
sand80125mm202535mmclay3brownoverallcolourlightbrown,sand clay
gravel135mm10254mmlightbrown,gravel
clay10brownsand90upto3mm,sand clay
sand125mmclay1lightbrown,sand clay
sand125mmclay3lightbrown,sand clay
gravel80125mm20254mmtraceofclaylightbrown,gravel clay
clay50brownsandandgravel50upto35mm,gravel sand clay
clay70brownsand30upto35mm,sand clay
sand152mmlightbrown,sand
clay30sand70upto25mmbrown,sand clay
clay70brownsand30upto2mm,sand clay
claybrowntraceofgravelfine,gravel clay
claybrown,clay
clay10brownsand90upto25mm,sand clay
sand125mmtraceofclaylightbrown,sand clay
clay30brownsand70upto25mm,sand clay
clay50brownsand50upto25mm,sand clay
claylightbrowntraceofsand,sand clay
clay90lightbrownrockchips10lightbrown,rock clay
claybrowntraceofrockchips,rock clay
claybrowntraceoffinegravel,gravel clay
siltstonemediumgreygreentinge,siltstone
none,
claybrown,clay
topsoil,soil
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
gravelwaterbearing,gravel water
clay,clay
clay,clay
claygreen,clay
claybrowntraceofwhitishconcretionstraceoffinegravel,gravel clay
topsoil,soil
claysandy,sand clay
sandgreyclay,sand clay
claybrownsandyverycoarse,sand clay
claybrown,clay
claybrownslightlysandyfirmtocoarse,sand clay
clay30brownsandandfinegravel70,gravel sand clay
claybrownslightlysandyfinetocoarsesilty,silty sand clay
claybrownverysandyveryfinesilty,silty sand clay
clay80brownsandsiltyandfinegravel20,gravel sand silty clay
sand70fineto2mm20235mmclay8brown,sand clay
claylightbrownverysandyveryfineverysilty,silty sand clay
clay60brownsiltysandandgravel40upto4mm,gravel sand silty clay
clay20lightbrownsiltysandandgravel80upto4mm,gravel sand silty clay
claylightbrowntraceofgravel,gravel clay
claylightbrownverysilty,silty clay
clay40lightbrownsandandgravel60upto35mm,gravel sand clay
clay80lightbrownsandandgravel20upto4mm,gravel sand clay
claybrown,clay
claybrownslightlysandycoarse,sand clay
none,
claybrown,clay
clay60brownsandandfinegravel40brown,gravel sand clay
clay80sandandfinegravel20brown,gravel sand clay
clay70sandandfinegravel30brown,gravel sand clay
claybrownsomefinewhitishconcretions,clay
none,
bedrocklithicsandstonequartziteidentifiedbejross,rock sandstone quartzite
claysandysandfinebands,sand clay
clay,clay
sandgravelwaterbearing,gravel water sand
rockveryhardcored,rock
sandfine,sand
claysandy,sand clay
claygreysandy,sand clay
claygravel,gravel clay
claygreyshaley,shale clay
claysoftsilty,silty clay
claygreysandygravel,gravel sand clay
gravelclaybands,gravel sand clay
claygrey,clay
sandclaybandswaterbearing,sand water clay
claygreysticky,clay
claygreysandy,sand clay
claysandy,sand clay
claygreenishsandy,sand clay
topsoil,soil
claygravel,gravel clay
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
sandgravelwatersupply,gravel water sand
claydarkbrown,clay
claymediumbrownsandyfine,sand clay
claymediumbrownextremelysandyfinetomedium,sand clay
claydarkbrownsandyfine,sand clay
clay0darkbrown,clay
sand9013mm125mm1012525mmtraceofclaylightbrown,sand clay
claylightgreysandyfine,sand clay
claylightbrownsiltysomesmallwhitishnodules,silty clay
claymediumbrownsiltysomesmallwhitishnodules,silty clay
claymediumbrownextremelysandyfine,sand clay
claybrownsandyfine,sand clay
clay20lightbrownsand60veryfine105mm1052mm10250mm,sand clay
claybrownsilty,silty clay
claybrownsiltysomesmallwhitishnodules,silty clay
claybrownsandyfine,sand clay
claybrownsandyfinetocoarse,sand clay
claybrownsilty,silty clay
claybrownsiltytraceofsmallwhitishnodules,silty clay
claymediumgreysilty,silty clay
claybrown,clay
claymediumgreysilty,silty clay
claybrownslightlysandyfine,sand clay
claygreybrownextremelysandymostlyfinesomecoarse,sand clay
claymediumgreysandyfinetraceofgravelto10mm,gravel sand clay
claylighttomediumgreysilty,silty clay
claydarkgreysandyfinetomedium,sand clay
claydarkgreysandyfinetocoarse,sand clay
claymediumgrey,clay
sand80fineto1mm20125mmclay2darkgreyoverallcolourmediumgrey,sand clay
claymediumtodarkgreysilty,silty clay
claydarkgreytoblacksandycoarse,sand clay
clay2darkgreysand60fineto1mm20125mm,sand clay
claymediumgrey,clay
gravel30fineto1mm3012mm30212mm101240mmlightgreybluetingesomejasperquartz,gravel quartz jasper
gravel40fineto2mm40212mm201250mmlightgreybluetingewhenwashedsomejasperquartz,gravel quartz jasper
gravel3052mm3026mm40650mmgreybluetinge,gravel ignimbrite
claydarkgrey,clay
gravelasfor9091,gravel
claymediumgreybrowntingesandyfine,sand clay
clay70greybrowntingecarbonaceouswood30darkbrownblackvitreous,wood carbonaceous clay
clay30mediumgreysand50515mm20158mmthesandandclayareseparatelighttomediumgrey,sand clay
clay40mediumgreysand40515mmgravel20158mmthesandandclayareseparatelighttomediumgrey,gravel sand clay
claymediumgreysandyveryfinecarbonaceouswood3darkbrownslightlyvitrifiedtraceofgravel,sand gravel wood carbonaceous clay
claymediumgreysandyveryfinetraceofgravelto40mm,gravel sand clay
clay25mediumgreysandyveryfinesandandgravel75upto10mmlighttomediumgrey,gravel sand clay
claylightgreyextremelysandyfine,sand clay
clay70mediumtodarkgreyvitrifiedandcarbonaceouswood3darkbrownandblackgravel30upto30mmoverallcolourdarkgrey,gravel wood carbonaceous clay
claylightgreysiltyalmostcertainlyweatheredbedrockprobablysiltstone,silty rock clay siltstone
claylightgreysiltygravel10upto8mm,gravel silty clay
claysandysomegravel,gravel sand clay
claysandygravel,gravel sand clay
claysandyclayeygravel,gravel sand clay
clayhardrockwhite,rock clay
claygreysoft,clay
sandgravelwaterbearing,gravel water sand
claygreenishgrey,clay
claysoftsandywoodsomegravelbands,gravel sand wood clay
claystickygravel,gravel clay
sandbandswaterbearing,sand water
clay,clay
claygreygravel,gravel clay
claygreysandbandscored,sand clay
claygrey,clay
clayverystickyshaley,shale clay
claysandyhard,sand clay
sandstonedecomposed,sandstone
claybandswaterbearing,water clay
claysandy,sand clay
claygravel,gravel clay
claygrey,clay
sandstonebands,sand sandstone
clayhard,clay
claysticky,clay
claygrey,clay
claygreysandybands,sand clay
sanddry,sand
claygreysandy,sand clay
conglomeratecored,conglomerate
clay,clay
claysticky,clay
clayredsandy,sand clay
sandgreyclayboundgravel,gravel sand clay
claysandy,sand clay
claystickysandy,sand clay
claygrey,clay
claylightbrownsandy,sand clay
clayredgrey,clay
claygreysticky,clay
clay,clay
claylightbrownsandyfine,sand clay
sand90052mmand10235mmbrown,sand
clay,clay
clay,clay
claylightgreysomepinksandyfinetomedium,sand clay
sandgravelclaysandgravel80upto8mmandclay20brown,gravel sand clay
claybrownwithatraceofgravel,gravel clay
claybrownextremelysandyveryfine,sand clay
clay,clay
claybrownslightlysandyfine,sand clay
claysandclay90brownandsand10finetocoarsewithatraceofgravel,gravel sand clay
clay,clay
claybrowntraceofgravelto8mm,gravel clay
claybrowntraceofgravel,gravel clay
claybrownverysandyfine,sand clay
claybrownsiltysomesmallwhitishnodules,silty clay
claybrownsandyfinetomedium,sand clay
claybrownsiltysomesmallwhitishnodulesasfor7274m,silty clay
claybrownwithsomewhitishnodules,clay
claylightbrownsilty,silty clay
claymediumbrownverysilty,silty clay
claylightbrownsilty,silty clay
claymediumbrownverysilty,silty clay
claymediumbrownextremelysilty,silty clay
claydarkbrownsiltywithtraceofgravelat101102mupto12mm,gravel silty clay
claymediumgreycouldbeweatheredshale,shale clay
claydarkgreycouldbeweatheredshale,shale clay
claydarkgreysandyfinetocoarse,sand clay
sandgravelclaysand60andgravel25upto25mmandclay20darkgrey,gravel sand clay
claysandgravelclay80darkgreyandsandgravel20upto15mm,gravel sand clay
clay,clay
claydarkgreyextremelysandyfinetocoarse,sand clay
sand70052mm30235mmlightgrey,sand
clay,clay
claydarkgreywithatraceofgravelto10mm,gravel clay
claydarkgreysomegravelto20mmverysilty,gravel silty clay
claydarkgreyverysilty,silty clay
shaledarkgreysolidpieces,shale
sandgreyclayboundgravel,gravel sand clay
sandgreycoarsewatersupply,sand water
claygreycoredwatersupply,water clay
claystickysandy,sand clay
claysandygravel,gravel sand clay
claygreysandy,sand clay
claysticky,clay
sandfinewatersupply,sand water
claygrey,clay
claysticky,clay
claygreystickycored,clay
clayhardsomesmallgravel,gravel clay
claysticky,clay
claysandy,sand clay
topsoilblack,soil
claygravelsandysilty,gravel sand silty clay
claygreysilty,silty clay
gravelgreysiltysandysomeclaybandswatersupply,water sand gravel silty clay
sandclayboundgravelsticky,gravel sand clay
sandgreyclaybound,sand clay
claygravelsticky,gravel clay
gravelsiltboundclayeysandywaterbearing,water sand silt gravel clay
gravelsiltysandysomeclaybandswatersupply,water sand gravel silty clay
claygreygreensandysiltysticky,silty sand clay
gravelsandysiltywatersupply,water sand silty gravel
claygreengreygravelsandysilty,gravel sand silty clay
sandsiltboundgravel,gravel sand silt
sandclayboundgravel,gravel sand clay
claygreysandysticky,sand clay
claygreygreensandysticky,sand clay
claygreysandysiltysticky,silty sand clay
sandsiltygravelwatersupply,water sand silty gravel
claysandysticky,sand clay
sandsiltboundclayeygravelwaterbearing,water sand silt gravel clay
siltgravelsandysomeclaybands,gravel sand silt clay
sandgreysiltygravelsomeclaybandswatersupply,water sand gravel silty clay
gravelsiltysandywatersupply,water sand silty gravel
siltsandygravelwatersupply,water sand silt gravel
claysticky,clay
claygravelsandysilty,gravel sand silty clay
sandgreysiltygravelwatersupply,water sand silty gravel
cored,
sandclayboundgravelwaterbearing,water sand clay gravel
siltclayeysandy,sand silt clay
claygreysandygravel,gravel sand clay
clay,clay
claygravelsandysticky,gravel sand clay
siltgreengreyfinesandy,sand silt
sandclayboundgravelsiltywaterbearing,water sand gravel silty clay
gravelclayboundsiltysandy,gravel sand silty clay
claygreygravelsticky,gravel clay
claygrey,clay
claygreysandstone,sandstone clay
clay,clay
claysandy,sand clay
claygreysoft,clay
claygravelwaterbearing,gravel water clay
claybandssandy,sand clay
claygravel,gravel clay
clay,clay
claygrey,clay
claygravel,gravel clay
claysandy,sand clay
claygreywaterbearing,water clay
claystickycrumbly,clay
claygravelwood,gravel wood clay
clay30browngravel70upto40mmsomelargeangularrockpiecesupto80x60x20mm,gravel rock clay
claysandy,sand clay
claysomegravelclaybands,gravel clay
claysandybands,sand clay
claygrey,clay
claysticky,clay
claygrey,clay
claygreysandy,sand clay
claysilty,silty clay
sandwaterbearing,sand water
claybrownslightredtingeextremelysandyfineto13mm,sand clay
claybrownslightredtinge,clay
claybrown,clay
claylightbrownsomelightgreyextremelysandyfinetocoarsetraceoffinegravel,gravel sand clay
claybrownsandyfine,sand clay
claybrown,clay
claybrownextremelysandyandgravellyupto6mm,gravel sand clay
gravel40132mm4028mm308120x50x30mm,gravel
claybrowntraceoflightgreytraceofgravel30mm,gravel clay
claybrowntraceofwhitishconcretions,clay
claybrownsomewhitishconcretions,clay
claybrowntraceofgravelto20mm,gravel clay
claybrownsilty,silty clay
claybrownsomewhitishconcretions,clay
claybrownsomewhitishconcretionssandyfine,sand clay
clay901315mm101525mmlightbrown,clay
claybrownextremelysandyfinetocoarse,sand clay
claybrownsilty,silty clay
claybrown,clay
claybrownsilty,silty clay
claybrownextremelysandyfinetocoarse,sand clay
claybrownsandyfinetocoarse,sand clay
clay20lightbrownsandandgravel80upto35mmmax15mm,gravel sand clay
claylightbrowntraceoflightgreysandyfinetomedium,sand clay
claylightgrey,clay
claylightbrownandlightgreysandyfinetomedium,sand clay
claylightgreyverysilty,silty clay
claylighttomediumgreyverysilty,silty clay
claylighttomediumgreyverysiltytraceoffinegravel,gravel silty clay
gravel30fineto2mm3028mmtraceofclaygreysandstone40largelumpofcementedfinesandlightgrey20x90x3mm,sand gravel cement sandstone clay
claymediumtodarkgrey,clay
claylightbrownsilty,silty clay
clay70lightbrowngravel30upto15mm,gravel clay
sandveryfineverysiltysandmaxabout5mmlightgrey,silty sand
clay70lightgreyextremelysandyveryfinegravel30upto12mm,gravel sand clay
clay50lightgreyextremelysandyfinegravel50upto12mm,gravel sand clay
sandfine90155mm1051mmlightpalegrey,sand
sand80155mm2052mmpalegrey,sand
gravel50fineto2mm4024mm10410mmlightgrey,gravel
claylightgreyverysandyfinetocoarsetraceofgravel,gravel sand clay
gravel30fineto2mm4028mm30815mmclay3greyoverallcolourlightgrey,gravel clay
gravel3052mm30210mm401040mmlightbrown,gravel
clay80lightgreysiltygravel20upto15mm,gravel silty clay
gravel30fineto2mm40m210mm301030mmclay2greyoverallcolourlightgrey,gravel clay
gravelsilt20sandupto2mm2030210mm301050x40x30mmtraceofclaylightgrey,gravel sand silt clay
clay70mediumgreytoblackgravel30upto50mm,gravel clay
claymediumgrey,clay
sand70fineto15mmsilt30lightgrey,sand silt
mudstoneverysoftweatheredtoclaylightgrey,mudstone clay
sandstone60softweatherboardfinegrainedsomeblackcarbonaceouswoodpebbles30upto12mm,pebbles wood sandstone carbonaceous
clay,clay
claysandygravelwaterbearing,water sand clay gravel
claygravel,gravel clay
sandclayeygravel,gravel sand clay
claysandy,sand clay
sandgravelwaterbearing,gravel water sand
claygravel,gravel clay
claysandy,sand clay
claygrey,clay
topsoil,soil
claysandy,sand clay
claygreyshaley,shale clay
claygrey,clay
claysandy,sand clay
basalt,basalt
rockdecomposedrockbars,rock
claystones,claystone
claystones,claystone
claydarkbrown,clay
sandfineclaybandswaterbearing,sand water clay
topsoil,soil
claystones,claystone
claystones,claystone
clay,clay
claybands,sand clay
bedrock,rock
gravellargewatersupply,gravel water
claydarkbrown,clay
claymedbrown,clay
claylightbrownveryfinesandy,sand clay
sandveryfineto15mmlightbrowntraceofclay,sand clay
sandveryfineto13mmlightbrowntraceofclay,sand clay
sand15to34mmlightbrown,sand
clay40lightbrownsiltysand3012to2mmgravel40212mmdarkgreybrownsandgravelseparatefromtheclay,gravel sand silty clay
gravel2012to2mm4028mm40890x50x40mmdarkgreysomered,gravel
sand7012to15mm301515mmlightbrown,sand
gravel6012to15mm401530mmclay2browntheclayisseparatetothesandgraveloverallcolourlightbrown,gravel sand clay
gravel30052mm4028mm30880x40x40mmclay3browntheclayisseparatefromsandgraveloverallcolourlightbrown,gravel sand clay
gravel2005to2mm4028mm40880x40x40mmdirtygrey,gravel
gravel5028mm50825mmclay3lightbrownoverallcolourdirtygreybrown,gravel clay
clay90lightbrownextremelysilty10largegravelto30mm,gravel silty clay
claylightbrownsilty,silty clay
basaltfreshhardblackalotofgreyclay,basalt clay
claysiltybands,silty sand clay
sandfinewatersupply,sand water
gravellargeclaybandswatersupply,gravel water clay
claystickysandy,sand clay
claysandy,sand clay
sandlightbrownclaybound,sand clay
sandclayboundgravel,gravel sand clay
somehardbandsbasaltdecomposedcored,basalt
clayveryhardsandy,sand clay
clayveryhardsandy,sand clay
clay,clay
clay,clay
claydarkbrownslightlysandy,sand clay
clay,clay
clay,clay
claydarkbrownslightlysandyfinetocoarse,sand clay
claybrownverysandyfinetocoarse,sand clay
gravelgravel70fineto2mm20235mmandclay8brownwithgreytinge,gravel clay
claybrownslightlysandyfinetocoarse,sand clay
claybrownverysandyfine,sand clay
gravelclaygravel70upto2mmandclay30brownverysandy,gravel sand clay
claygravelclay80brownsandyfinetocoarseandgravel20to30mm,gravel sand clay
gravel50032mm40210mm101025mmlightbrown,gravel
gravel30052mm50210mm201050mmlightbrown,gravel
gravel50032mm30210mm201080mmx50mmx40mmlightbrown,gravel
gravel60032mm30210mm101040mmverylightbrown,gravel
gravel50032mm30210mm201060mmx50mmx40mmlightbrown,gravel
gravel50032mm40210mm101030mmlightbrown,gravel
gravel40032mm40210mm201050mmlightbrown,gravel
clay60brownsomeyellowandblackandsandgravel40fineto50mm,gravel sand clay
clay,clay
claybrownwithsomewhitishconcretions,clay
claylightbrownextremelysandyveryfine,sand clay
gravel30fineto2mm60210mmandclay5dirtylightbrownwithagreytinge,gravel clay
gravelgravel40fineto2mm40210mm101020mmandclay8lightbrown,gravel clay
clayclay90brownandgravel10upto20mm,gravel clay
clay,clay
claylightbrownslightlysandyfine,sand clay
claydarkbrownwithatraceoffinegravelat4344m,gravel clay
clayverydarkbrownwithatraceoffinegravel,gravel clay
claydarkgreytobalcktraceofgravelorrockfragmentgrey,gravel rock clay
claygreysilty,silty clay
clay,clay
claylightbrownsomeharderfragmentscouldbeweatheredrock,rock clay
claylightbrownwithsomewhitishmaterialthatcouldbeweatheredsiltstone,clay siltstone
claylightbrownsomewhitesilty,silty clay
rocklightbrowngreenwhitemostofthesampleislightbrownsiltyclay,silty rock clay
claygreysticky,clay
sandgravelwatersupplystones,water sand stones gravel
claygreysandy,sand clay
claystickysandy,sand clay
clayveryhardsomegravel,gravel clay
claygreystickygravel,gravel clay
topsoilblack,soil
sandclayboundgravel,gravel sand clay
claysandy,sand clay
basaltdecomposedhardbands,basalt
gravelmediumwatersupply,gravel water
claygravel,gravel clay
bouldersclay,boulders clay
rockharddecomposedrock,rock
gravellargeclaybandswatersupply,gravel water clay
rockdecomposedrockbars,rock
bedrock,rock
gravelmediumwatersupply,gravel water
gravellargewatersupply,gravel water
claydrygravelshaley,gravel shale clay
