Description,Extracted
sandstonewatersupply,water sandstone
claysticky,clay
clayverysticky,clay
sandstonewhitesoftwatersupply,water sandstone
clayverystickygravelhard,gravel clay
pipeclay,clay
sandstonecoarse,sandstone
sandstone,sandstone
clayred,clay
quartzflintybands,sand quartz silt
clayyellowwatersupply,water clay
claysticky,clay
sandstone,sandstone
sandstoneclayinterlayere,sandstone laterite clay
sand,sand
pebbleshard,pebbles
sandstonehard,sandstone
soil,soil
clayverysticky,clay
sandstonehard,sandstone
sandstoneveryhard,sandstone
quartzveryhardstreaks,quartz
clay,clay
rock,rock
rockhard,rock
rockred,rock
rock,rock
rockhard,rock
rockdarkgreen,rock
rockveryhard,rock
rockhardbroken,rock
rock,rock
shalewaterbearingwatersupply,water shale
sandstone,sandstone
clay,clay
coalformationstrata,coal
sandstone,sandstone
clay,clay
shale,shale
ironstonestreaks,ironstone
sandstone,sandstone
sandstonesoft,sandstone
ironstonebroken,ironstone
claysticky,clay
sandstone,sandstone
sandstone,sandstone
pipeclay,clay
clay,clay
soil,soil
sandstone,sandstone
shale,shale
sandstone,sandstone
sandgravel,gravel sand
claypebblespebbly,pebbles clay
shale,shale
claysandy,sand clay
conglomeratewaterbearingwatersupply,water conglomerate
soapstone,soapstone
claysurface,clay
sandredloose,sand boulders
sandstonegreyhard,sandstone
sandrock,sand rock
sandwatersupply,sand water
clayyellowsandywatersupply,sand water clay
clayred,clay
pipeclay,clay
clayred,clay
clayredsandywatersupply,sand water clay
sandstone,sandstone
sandstone,sandstone
claysurface,clay
gravel,gravel
conglomerate,conglomerate
claysandy,sand clay
gravelred,gravel
sand,sand
sandrock,sand rock
sandstone,sandstone
shale,shale
sandstonehard,sandstone
claysandy,sand clay
gravel,gravel
sandstonehard,sandstone
shalesandy,sand shale
clay,clay
clayblack,clay
shalegreysandy,sand shale
sandstone,sandstone
claysandywatersupply,sand water clay
shale,shale
claysoftwatersupply,water clay
sandstonecryptocrystalline,sandstone claystone
sandstonesandwatersupply,sand water sandstone
shale,shale
pipeclay,clay
shalesandy,sand shale
shalewatersupply,water shale
shale,shale
sand,sand
pipeclay,clay
sandstoneredcoarse,sandstone
clay,clay
sandstone,sandstone
shale,shale
clayyellowwatersupply,water clay
claywhitesticky,clay
sandstonesoft,sandstone
claywhite,clay
claysandstone,sandstone clay
sandgravel,gravel sand
shalewhitesandy,sand shale
shalesandy,sand shale
sandstonehard,sandstone
sandstonehard,sandstone
sandstoneshale,shale sandstone
shalegreysandstonehardbands,shale sandstone
claywhite,clay
shalewhitesandywatersupply,sand water shale
shalepuggy,shale
shale,shale
claywhite,clay
shalewhite,shale
claywhite,clay
shalegreytough,shale
shaletough,shale
sand,sand
clay,clay
sandstone,sandstone
shalesandy,sand shale
sandstonewatersupply,water sandstone
shale,shale
shalesandy,sand shale
shalegrey,shale
shalesticky,shale
stonesloose,stones
sand,sand
shaletough,shale
pipeclay,clay
soil,soil
claywhitehard,clay
clayred,clay
shale,shale
shalewhitesandysoft,sand shale
shalesandysoft,sand shale
claywhite,clay
sandstone,sandstone
sandstonesoftclaywhitewatersupply,water sandstone clay
claysandy,sand clay
sandstone,sandstone
claywhite,clay
shalesandy,sand shale
clayred,clay
claywhite,clay
shalesandy,sand shale
fireclay,clay
sandstone,sandstone
clay,clay
shalesandy,sand shale
clay,clay
shale,shale
clayyellow,clay
sandwatersupply,sand water
clay,clay
sandstonewatersupply,water sandstone
shale,shale
shale,shale
shalegrey,shale
